loss_fn	Source	SS	DF	MS	F	p_unc	p_bonf	p_fdr	np2	eta_sq	pct_var
vggish	Residual (pooled)	4.837226855168001	40	0.12093067137920002						0.1442938925883833	14.429389258838329
panns_wavegram_logmel	modulation	298.1342494447039	2	149.06712472235196	126.88215933347668	4.799753597781898e-18	4.799753597781898e-17	4.7997535977818974e-17	0.8638364244455813	0.387610950648659	38.761095064865906
panns_wavegram_logmel	feature	150.95029054114596	2	75.47514527057298	64.24253118033202	3.2357262081926707e-13	3.235726208192671e-12	1.6178631040963352e-12	0.7625902294271356	0.19625382097603292	19.625382097603293
panns_wavegram_logmel	source	0.009348380170903347	1	0.009348380170903347	0.007957104321719137	0.9293660437093393	1.0	0.9293660437093393	0.00019888804372017284	1.2154036417546822e-05	0.0012154036417546823
panns_wavegram_logmel	rating_stimulus	65.97799375908814	3	21.99266458636271	18.719598821081732	9.61180266666009e-08	9.61180266666009e-07	1.922360533332018e-07	0.5840214159160237	0.08577945315066765	8.577945315066765
panns_wavegram_logmel	modulation:feature	102.29022855653413	4	25.572557139133533	21.766712650662996	1.3427433150344368e-09	1.3427433150344369e-08	3.3568582875860917e-09	0.6852050726819134	0.13298979505613834	13.298979505613834
panns_wavegram_logmel	modulation:source	0.4101961424271706	2	0.2050980712135853	0.17457428121177676	0.8404508696772786	1.0	0.9293660437093393	0.00865318290132916	0.000533305103371218	0.0533305103371218
panns_wavegram_logmel	modulation:rating_stimulus	13.521229559618444	6	2.2535382599364073	1.9181546641750078	0.10148039605854696	1.0	0.1691339934309116	0.22343559525040782	0.01757925046620488	1.757925046620488
panns_wavegram_logmel	feature:source	85.76173729765858	2	42.88086864882929	36.499108830283994	9.544824770576312e-10	9.544824770576311e-09	3.1816082568587707e-09	0.6460121156941181	0.11150073695035684	11.150073695035683
panns_wavegram_logmel	feature:rating_stimulus	4.484914372624717	6	0.7474857287707861	0.6362409116969677	0.7004624101879191	1.0	0.9293660437093393	0.08712158888357868	0.005830936656183571	0.5830936656183571
panns_wavegram_logmel	source:rating_stimulus	0.6244113120781032	3	0.2081371040260344	0.1771610289353076	0.9112473719401895	1.0	0.9293660437093393	0.013112845776396837	0.0008118109969624944	0.08118109969624944
panns_wavegram_logmel	Residual (pooled)	46.993880150027366	40	1.1748470037506842						0.06109778595900543	6.1097785959005435
clap2	modulation	1048.0598317976655	2	524.0299158988328	213.27628641607103	4.604559107721143e-22	4.604559107721143e-21	4.604559107721143e-21	0.9142647531505708	0.3671628217646516	36.71628217646516
clap2	feature	254.54273821109845	2	127.27136910554923	51.79850261671114	7.912107401088035e-12	7.912107401088035e-11	2.6373691336960116e-11	0.7214426586753775	0.08917299106958874	8.917299106958874
clap2	source	197.8384954224877	1	197.8384954224877	80.51879927785824	3.989131479723428e-11	3.989131479723428e-10	9.97282869930857e-11	0.6681015722055171	0.06930800897922122	6.930800897922122
clap2	rating_stimulus	631.651225301537	3	210.55040843384566	85.6924535255481	1.840712738113167e-17	1.840712738113167e-16	9.203563690565835e-17	0.8653549367667812	0.2212839756056841	22.12839756056841
clap2	modulation:feature	100.54870913517817	4	25.137177283794543	10.230644586148255	8.427063729402847e-06	8.427063729402848e-05	1.2038662470575496e-05	0.5057003766035754	0.035224847523774215	3.5224847523774216
clap2	modulation:source	66.9151001417612	2	33.4575500708806	13.616974556610543	3.086223716394846e-05	0.0003086223716394846	3.8577796454935566e-05	0.4050624643118832	0.023442112979916614	2.3442112979916616
clap2	modulation:rating_stimulus	275.39001326224786	6	45.89833554370798	18.680281908429496	3.257886657784902e-10	3.257886657784902e-09	6.515773315569804e-10	0.736983461858727	0.09647633778859702	9.647633778859701
clap2	feature:source	140.74472229943075	2	70.37236114971537	28.641028683636108	1.9078529272058185e-08	1.9078529272058186e-07	3.179754878676364e-08	0.5888244853931629	0.049306564205694785	4.930656420569479
clap2	feature:rating_stimulus	29.068349065459152	6	4.844724844243192	1.9717670540155658	0.09270893035888264	0.9270893035888264	0.10300992262098072	0.22825515802647645	0.010183404365958286	1.0183404365958286
clap2	source:rating_stimulus	11.441376943785176	3	3.8137923145950587	1.5521851660392922	0.2159897420729796	1.0	0.2159897420729796	0.10427484713446238	0.00400821414589257	0.400821414589257
clap2	Residual (pooled)	98.2818905382714	40	2.457047263456785						0.034430721571020825	3.4430721571020824
encodec48k	modulation	0.5619615611581047	2	0.28098078057905235	2.6001140368539177	0.086773537457367	0.86773537457367	0.10846692182170875	0.11504871314427538	0.027725724833887723	2.7725724833887724
encodec48k	feature	0.9980782932861871	2	0.49903914664309357	4.617962436620278	0.01568764740726266	0.15687647407262661	0.03137529481452532	0.18758507933015856	0.049242592438708856	4.924259243870885
encodec48k	source	4.624936169332631	1	4.624936169332631	42.797807838148195	8.186856891410232e-08	8.186856891410232e-07	8.186856891410232e-07	0.5168954221808463	0.22818234638851853	22.81823463885185
encodec48k	rating_stimulus	1.9157465343710918	3	0.6385821781236972	5.9092528734613365	0.001949157297109514	0.01949157297109514	0.004872893242773785	0.30709244640799604	0.09451796160930513	9.451796160930513
encodec48k	modulation:feature	1.1632602081567482	4	0.29081505203918706	2.6911175112304657	0.044607965608619175	0.44607965608619177	0.07434660934769863	0.21204732434705417	0.05739223938217186	5.739223938217187
encodec48k	modulation:source	1.605814456861649	2	0.8029072284308245	7.429868870860773	0.0018035379459606657	0.018035379459606656	0.004872893242773785	0.2708678231689854	0.0792267173460621	7.92267173460621
encodec48k	modulation:rating_stimulus	1.2040556948623595	6	0.20067594914372658	1.8569965929779546	0.11247213991988188	1.0	0.1249690443554243	0.21786367391704994	0.05940498280991331	5.940498280991331
encodec48k	feature:source	2.4014332510143666	2	1.2007166255071833	11.111080785779011	0.00014531081605115238	0.0014531081605115238	0.0007265540802557619	0.35714223052186367	0.1184804835892333	11.84804835892333
encodec48k	feature:rating_stimulus	1.4244225416571277	6	0.23740375694285462	2.196864993957495	0.06331825917778922	0.6331825917778922	0.09045465596827032	0.24785436303194677	0.07027731105982411	7.0277311059824115
encodec48k	source:rating_stimulus	0.046297287942898106	3	0.015432429314299369	0.14280719129676	0.9336799922215121	1.0	0.9336799922215121	0.01059703934043682	0.0022841880206445645	0.22841880206445644
encodec48k	Residual (pooled)	4.322591649388317	40	0.10806479123470794						0.21326545252173057	21.326545252173055
mss_rev	modulation	625386.0039156941	2	312693.00195784704	598.4288581779298	1.5660476417612499e-30	1.56604764176125e-29	1.5660476417612497e-29	0.9676599826551986	0.4565855399645915	45.65855399645915
mss_rev	feature	230887.68286694252	2	115443.84143347126	220.93531284726117	2.4131858311071337e-22	2.413185831107134e-21	1.2065929155535667e-21	0.9169901673455446	0.16856785520129355	16.856785520129357
mss_rev	source	395.88421593777457	1	395.88421593777457	0.7576394029638187	0.3892621520045212	1.0	0.3892621520045212	0.01858889312683611	0.0002890295071614277	0.02890295071614277
mss_rev	rating_stimulus	188310.47234450013	3	62770.15744816671	120.12892330228442	4.795933962301836e-20	4.795933962301836e-19	1.5986446541006122e-19	0.9000965990726775	0.13748283165606548	13.748283165606548
mss_rev	modulation:feature	15045.488016335774	4	3761.3720040839435	7.198477546644369	0.00018280531336494415	0.0018280531336494414	0.00030467552227490694	0.4185531845549247	0.010984499536218464	1.0984499536218464
mss_rev	modulation:source	6241.589178860333	2	3120.7945894301665	5.972546654601231	0.0053741429207236815	0.05374142920723682	0.007677347029605259	0.2299561430778352	0.004556896616847329	0.4556896616847329
mss_rev	modulation:rating_stimulus	117866.94385871352	6	19644.49064311892	37.59543715862704	6.119039776674364e-15	6.119039776674363e-14	1.2238079553348728e-14	0.8493820652316806	0.08605300065679386	8.605300065679385
mss_rev	feature:source	155418.549879985	2	77709.2749399925	148.71926260263248	3.0012801836547406e-19	3.0012801836547406e-18	7.503200459136851e-19	0.8814598896920028	0.11346890092384103	11.346890092384102
mss_rev	feature:rating_stimulus	5878.2925993171975	6	979.7154332195329	1.874969968531296	0.10912753001031088	1.0	0.12125281112256764	0.2195094510114151	0.004291658885431208	0.42916588854312077
mss_rev	source:rating_stimulus	3369.892303069112	3	1123.2974343563708	2.149755820652166	0.10909368669235328	1.0	0.12125281112256764	0.1388454073519817	0.0024603110513914703	0.24603110513914703
mss_rev	Residual (pooled)	20900.930674360934	40	522.5232668590234						0.015259476000364801	1.5259476000364802
mss_log_lin	modulation	1.481273523391259	2	0.7406367616956295	165.14826457539027	4.6795813281107e-20	4.6795813281107e-19	2.33979066405535e-19	0.891978463606629	0.2764638846188005	27.64638846188005
mss_log_lin	feature	0.20029713607299032	2	0.10014856803649516	22.331273663856503	3.071660399370676e-07	3.071660399370676e-06	6.143320798741352e-07	0.5275360680423726	0.03738332147460711	3.738332147460711
mss_log_lin	source	1.9387375484183813	1	1.9387375484183813	432.30252418934407	4.7125385261108165e-23	4.712538526110817e-22	4.712538526110816e-22	0.9153085195370158	0.3618446596311035	36.18446596311035
